artifact_id,artifact_name,artifact_type,evidence_type,status,path_or_url,notes
EV-001,Zenodo record 15282970 metadata,dataset_metadata,preexisting_artifact,available,F:\0_PhD second year\第5篇：城市风环境LBM二次开发\实验3：3DGS模型构建\TUM2TWIN_TUM_Downtown_Photogrammetry_Mesh_20241217\raw_zenodo\zenodo_record_15282970.json,Official Zenodo metadata copied locally; source DOI 10.5281/zenodo.15282970
EV-002,TUM Downtown photogrammetry OBJ,source_geometry,preexisting_artifact,available,F:\0_PhD second year\第5篇：城市风环境LBM二次开发\实验3：3DGS模型构建\TUM2TWIN_TUM_Downtown_Photogrammetry_Mesh_20241217\raw_zenodo\TUM_Downtown_Photogrammetry_20241217_Mesh.obj,MD5 verified against Zenodo; contains 951285 vertices and 999999 faces
EV-003,TUM Downtown texture JPG,source_texture,preexisting_artifact,available,F:\0_PhD second year\第5篇：城市风环境LBM二次开发\实验3：3DGS模型构建\TUM2TWIN_TUM_Downtown_Photogrammetry_Mesh_20241217\raw_zenodo\TUM_Downtown_Photogrammetry_20241217_Mesh.jpg,MD5 verified against Zenodo; used by MTL map_Kd
EV-004,TUM Downtown material MTL,source_material,preexisting_artifact,available,F:\0_PhD second year\第5篇：城市风环境LBM二次开发\实验3：3DGS模型构建\TUM2TWIN_TUM_Downtown_Photogrammetry_Mesh_20241217\raw_zenodo\TUM_Downtown_Photogrammetry_20241217_Mesh.mtl,Single material named material; no multi-layer Rhino structure in source OBJ
EV-005,Rhino layered geometry 3DM,converted_model,newly_run,available,F:\0_PhD second year\第5篇：城市风环境LBM二次开发\实验3：3DGS模型构建\TUM2TWIN_TUM_Downtown_Photogrammetry_Mesh_20241217\converted\TUM_Downtown_Photogrammetry_20241217_rhino_layered_geometry.3dm,"3DM readback passed: 1 layer, 1 mesh, 951285 vertices, 999999 faces; exact UV not embedded"
EV-006,FluidX3D z0 STL,converted_model,newly_run,available,F:\0_PhD second year\第5篇：城市风环境LBM二次开发\实验3：3DGS模型构建\TUM2TWIN_TUM_Downtown_Photogrammetry_Mesh_20241217\converted\TUM_Downtown_Photogrammetry_20241217_fluidx3d_z0_fullres.stl,"Binary STL, 999999 triangles, min z shifted to 0"
EV-007,Visual local STL,converted_model,newly_run,available,F:\0_PhD second year\第5篇：城市风环境LBM二次开发\实验3：3DGS模型构建\TUM2TWIN_TUM_Downtown_Photogrammetry_Mesh_20241217\converted\TUM_Downtown_Photogrammetry_20241217_visual_local_fullres.stl,Binary STL in source local coordinates
EV-008,Rhino visible launch,software_interaction,newly_run,started,Rhino PID 141620,Rhino launched with OBJ path; import UI/options may require user confirmation
EV-009,TUM2TWIN pc-fac page,source_context,preexisting_artifact,available,https://tum2t.win/benchmarks/pc-fac,Facade semantic segmentation benchmark; not used as CFD collision geometry
EV-010,CityLBM/FluidX3D wind simulation outputs,simulation_result,not_run,missing,,No VTK/log/statistical CFD output generated in this run
